order_id,customer_id,store_id,order_date
30019caf-e829-42c7-95da-2b1adf306cd7,cb1b8eba-4581-4062-9c4d-f33b94c1393c,dcdaa102-b88d-401e-ae9c-561e452bc484,2024-09-19
cc2171d6-ea0d-414f-83c0-f52e45e71b8b,e566dd53-117c-486d-9c43-8eb9511835aa,bd47d09f-b10c-4847-a414-4b0f7c92d6ab,2023-06-16
826d9e6d-05e4-48f6-afcb-28c7374b1a0f,4850a1e6-c31c-4b70-b9c3-95bc1b196702,ddddb251-9346-4e72-8216-f98fade387b4,2023-08-13
b52bfb42-a1a0-4a68-9e01-5c0e8dbbb9aa,00d58fb2-5eca-4fa7-8e35-30b1bf8e038a,6410b3bf-319a-4add-88ac-8cfe2db99750,2024-05-27
049a95e5-aca1-4e53-9f7b-f3128dcaaec2,7ee5a915-9985-4097-8b0c-412b9a1a2201,bd47d09f-b10c-4847-a414-4b0f7c92d6ab,2024-03-06
042d3930-91ea-4098-a7ec-2e51ea00db28,b27e6a6b-7d4d-4be1-b0d2-41d690c20778,6410b3bf-319a-4add-88ac-8cfe2db99750,2024-09-14
8b4d427e-086d-4e7b-9d74-abcc9034eb52,affbe5d5-7216-4d46-85ef-6ad080061ad4,4abfcfc3-6380-45d9-8153-3452ba0d042a,2025-02-07
9d291a91-6ca1-4fc0-a3a9-e4a9e2ae0d08,24afc293-dfc4-4f01-a720-ca07d2b5b8ab,6410b3bf-319a-4add-88ac-8cfe2db99750,2024-10-25
3807da67-7f46-4877-a8fb-154012f554e0,9902cafb-1bab-4874-a0c1-359ce93a01a1,99b6ed17-b6c5-4957-9579-bdfda2d2e2ce,2023-11-05
8e85da3a-6b61-4f4d-8f98-5dad6b954bba,fa809487-5874-4089-93dc-b9aeaf8d8294,dcdaa102-b88d-401e-ae9c-561e452bc484,2024-12-03
73f39526-2659-4cc4-af70-bdc30f5e7bb2,4a17b07c-3227-46e5-bc29-daa58b4a81f9,c96a7c5d-aed1-479e-9f20-56770bb52fe7,2025-03-16
2a066d6e-5036-49f7-abbd-bc96cc866be0,3d56cee5-5bbb-4e64-8972-688a0aa8e68b,c96a7c5d-aed1-479e-9f20-56770bb52fe7,2024-10-09
3dd49beb-d319-44a8-8b1c-0e236b7f64c1,fe59dc9c-6a0c-4d53-8ae3-50dca050c35c,ddddb251-9346-4e72-8216-f98fade387b4,2024-10-04
3a89caea-74dc-404f-b1b3-8b0ca9f9c53d,7973afd1-89d5-4511-bba2-7c305abacfbe,4abfcfc3-6380-45d9-8153-3452ba0d042a,2023-11-09
96fbdc81-8850-4576-bcc6-e8f97a2ea19e,c3507b7a-ccda-48cd-9570-a415037752e6,bd47d09f-b10c-4847-a414-4b0f7c92d6ab,2025-03-27
1019d352-2f2d-46ab-8bdb-e3c375836dee,c2fee223-a1a1-4a0c-a607-14b5b3436b02,bd47d09f-b10c-4847-a414-4b0f7c92d6ab,2024-05-19
77c44112-dd17-4262-8350-3d2c72bc6093,47a49ace-293e-45dc-bd81-a87d135f478d,3ae01442-74d4-4f4d-a991-91d0f79e28cc,2024-02-13
2cd901aa-0f12-493c-8cb3-7549b6f2d2fa,7c78ec53-d8b9-4b35-92eb-612c0cfaab79,4abfcfc3-6380-45d9-8153-3452ba0d042a,2024-08-28
2e1cccb4-6ca8-4ef2-ad2d-d5b508cfb0e7,80b2a998-0674-42da-81e5-b7f3afa18bd5,4abfcfc3-6380-45d9-8153-3452ba0d042a,2024-10-28
c323858a-7479-47fc-9055-5cf450d0ecbe,3520a146-3491-4f0e-9fb0-197f6cbd9d8b,4abfcfc3-6380-45d9-8153-3452ba0d042a,2025-01-19
45a1a910-23d9-4d7e-9a9a-483f1f658b3b,859da24a-f9e1-4b2f-ad41-4642ab362335,4abfcfc3-6380-45d9-8153-3452ba0d042a,2025-03-15
2ff14833-353c-4f4e-a94e-7f6e05827190,c3cb3bc9-202f-475b-92c0-70f79425916d,dcdaa102-b88d-401e-ae9c-561e452bc484,2023-12-10
415e9077-5625-41ea-b99c-a67afe178a13,e451f10a-1e07-4192-9a3e-c41ee7af84f5,c96a7c5d-aed1-479e-9f20-56770bb52fe7,2023-12-18
c62dada8-6249-485e-94d6-cd5feea8812b,f08d6a07-a53f-41a9-868c-018abc1fb909,4abfcfc3-6380-45d9-8153-3452ba0d042a,2024-08-08
