order_item_id,order_id,product_id,quantity,price
07110539-1111-4c09-8e78-4c6a9170e389,30019caf-e829-42c7-95da-2b1adf306cd7,698ce1ee-f4a3-4211-af9e-662fb1bfab52,5,326.13
55915ecf-adf4-4634-ba23-437aae386888,30019caf-e829-42c7-95da-2b1adf306cd7,208d01d3-7bb7-4bfd-9109-7e9246322a90,4,482.76
257d0c95-2aae-4776-bbbb-fc995a109d06,30019caf-e829-42c7-95da-2b1adf306cd7,33c16e6d-852b-4161-8e5d-e4a6b22a9dc8,4,420.04
81fc2540-b5df-4b77-8aef-17a73f2178d4,30019caf-e829-42c7-95da-2b1adf306cd7,e1d82be1-ceee-4783-95ad-a15a15bd39c1,4,324.31
3f9800d4-dbb6-4960-8b35-1c9599b74f6d,cc2171d6-ea0d-414f-83c0-f52e45e71b8b,e1b3ecdc-cc26-449f-9849-5d7a02e61094,5,109.94
f4744a88-df72-45db-8989-30dd8bc2a79a,cc2171d6-ea0d-414f-83c0-f52e45e71b8b,6d49f0ff-cdd0-478b-a65c-93f7da554d84,3,144.09
e974f143-f5fd-4001-9032-877a8fe64a23,cc2171d6-ea0d-414f-83c0-f52e45e71b8b,d4ea5e1d-6b9c-4994-97e2-9704730edbf0,4,312.44
dd72a57e-6f75-4b0d-a441-56d7fbbce095,cc2171d6-ea0d-414f-83c0-f52e45e71b8b,0440f184-ceb6-4232-85bd-a3da3f0b276e,1,59.27
c210fab5-1ede-4a9a-90f6-510627588f7b,cc2171d6-ea0d-414f-83c0-f52e45e71b8b,09873c57-7744-4731-b0d7-f61e3dbd75ae,3,88.29
a1129f0b-0749-4937-9174-259005fd0db9,cc2171d6-ea0d-414f-83c0-f52e45e71b8b,4d243ada-be1c-4e72-8b77-a226211d9e06,3,264.43
cb32658b-c210-4b42-ade5-a4988b68703f,cc2171d6-ea0d-414f-83c0-f52e45e71b8b,61741167-067f-4b02-8c5a-6eff14ffa9d8,1,159.69
4e0bde4b-d4c7-4a22-9429-c20c554f0006,826d9e6d-05e4-48f6-afcb-28c7374b1a0f,599f62a3-af37-4adb-9b25-d065e74952e5,1,181.01
43b0904e-acf2-40b4-97e8-889b1282cb6c,826d9e6d-05e4-48f6-afcb-28c7374b1a0f,394b7f37-cd2a-40ee-b3ee-59e7bc56bddc,5,196.16
1b809fc4-dd0c-44b8-87b4-535cba2c1f51,826d9e6d-05e4-48f6-afcb-28c7374b1a0f,8e7803a4-ed06-49f1-b746-03973fc9e191,2,363.89
aa54bd74-67a8-4f5f-8f11-ad6ff3dc38c8,826d9e6d-05e4-48f6-afcb-28c7374b1a0f,6a04e703-1c59-4465-8421-041e1bd231a1,5,348.92
4e21418f-66f9-4289-b51a-971d6ebf5344,826d9e6d-05e4-48f6-afcb-28c7374b1a0f,dceae9c2-7ecd-44b4-8f3c-3bdf12879f0b,5,308.27
2d33fee3-c071-4006-ba4a-d40337ffbd27,826d9e6d-05e4-48f6-afcb-28c7374b1a0f,67a98347-53e0-4a67-92da-f12467c72a23,1,303.91
9045a172-ee91-4bac-89a0-8ccdfac2bc75,b52bfb42-a1a0-4a68-9e01-5c0e8dbbb9aa,5383adbb-0ff7-4d92-ad57-67822c556aee,1,481.65
1944ad68-d962-420b-bc7c-ce646eb2ae8e,b52bfb42-a1a0-4a68-9e01-5c0e8dbbb9aa,104dc1a7-4248-4827-83a2-0d090f6578eb,2,392.91
4e99ced3-0d6c-4f9a-9c99-8cf4f4c799fa,b52bfb42-a1a0-4a68-9e01-5c0e8dbbb9aa,42819fcc-93e7-45bf-a072-9d98f01c1d08,3,356.16
53b39ed3-70ec-41cb-8fa6-1cafaa321c63,b52bfb42-a1a0-4a68-9e01-5c0e8dbbb9aa,ca7429fe-fe38-4549-a5ff-6b960ba13a49,4,390.48
d2b47852-9e9b-4fbc-a928-7f505c2817f2,049a95e5-aca1-4e53-9f7b-f3128dcaaec2,97f4d9dd-310e-4f93-866e-79dbdbba9e64,3,213.55
cbc9a178-d5b7-415f-985b-41f20a309c8f,049a95e5-aca1-4e53-9f7b-f3128dcaaec2,6d49f0ff-cdd0-478b-a65c-93f7da554d84,1,144.09
5623be34-5cbb-48cd-8bb4-7823d3d6e3ff,049a95e5-aca1-4e53-9f7b-f3128dcaaec2,17b8312c-bc3a-46b8-9cda-7a4a0df8e9e9,5,354.78
6c9aab44-96e9-48fb-a7bc-6f41e5f2764c,049a95e5-aca1-4e53-9f7b-f3128dcaaec2,924da418-6790-4523-98a7-2aa76d97f333,5,485.91
e3213733-7206-4932-b539-b0ea4adea775,049a95e5-aca1-4e53-9f7b-f3128dcaaec2,c094f5b2-61cd-4c6e-be4b-e44087cdad82,4,206.36
ab041eb2-126a-4269-804d-555276aa1cca,049a95e5-aca1-4e53-9f7b-f3128dcaaec2,41568ba9-e579-4062-ac09-9c43931aa7e8,2,76.46
d408181b-60b0-4bf7-b214-aea2258a1d87,049a95e5-aca1-4e53-9f7b-f3128dcaaec2,61741167-067f-4b02-8c5a-6eff14ffa9d8,3,159.69
3949f7c5-e44d-4ce7-be65-707ce6e4f2dd,042d3930-91ea-4098-a7ec-2e51ea00db28,924da418-6790-4523-98a7-2aa76d97f333,2,485.91
e726e479-5e30-4cc7-8c72-d3e61bbdd06b,042d3930-91ea-4098-a7ec-2e51ea00db28,b9f54a2b-d991-44cd-a0ab-1680b1feccd8,4,362.64
c257bfbc-b5b8-4a07-a119-c46642095494,8b4d427e-086d-4e7b-9d74-abcc9034eb52,5f2e5773-016d-49a9-bb6d-da65e6533aa8,2,293.21
edaab280-23cd-4b47-89c7-cf7d122765b2,8b4d427e-086d-4e7b-9d74-abcc9034eb52,bd0f7168-5a25-4e32-8953-98543ddfd134,3,85.72
2357860c-9e6d-414b-9cbf-8896ffdd3adc,8b4d427e-086d-4e7b-9d74-abcc9034eb52,1dd67b31-0eea-4408-91ac-441ffe4bc70e,3,436.37
9075ba42-a21f-431c-93b5-9bffa18d02ef,8b4d427e-086d-4e7b-9d74-abcc9034eb52,104dc1a7-4248-4827-83a2-0d090f6578eb,3,392.91
c7af1156-5aaf-4bf9-8af6-1d930ef1f616,9d291a91-6ca1-4fc0-a3a9-e4a9e2ae0d08,ca7429fe-fe38-4549-a5ff-6b960ba13a49,3,390.48
b86dd2eb-9646-48fc-92b1-79da5e4f6440,9d291a91-6ca1-4fc0-a3a9-e4a9e2ae0d08,e8b06a54-c38c-47b5-9ab8-ddbc84728627,2,450.05
a12f5357-3001-495a-9ecd-91e4e7bea4e6,9d291a91-6ca1-4fc0-a3a9-e4a9e2ae0d08,d06a0363-7b27-405c-a2df-f1bd3801d5ad,5,64.36
4ce0019e-2ab9-4f24-b8ac-82d2e1246faf,9d291a91-6ca1-4fc0-a3a9-e4a9e2ae0d08,7bc76906-3214-4061-ad76-cd5ca0d2c7aa,3,428.31
882824a9-e865-4f84-8f02-d81cc35ac18b,9d291a91-6ca1-4fc0-a3a9-e4a9e2ae0d08,5d0da0e0-6b95-41c4-a60f-e58ad390d22a,4,26.26
563141dd-5c38-46af-84d2-8b8ea097390d,3807da67-7f46-4877-a8fb-154012f554e0,aa2b8087-7c96-4058-902e-0c8b4831156e,5,28.59
2dc23e8d-296f-4dde-a0b6-5e3addb9c2d2,8e85da3a-6b61-4f4d-8f98-5dad6b954bba,6d49f0ff-cdd0-478b-a65c-93f7da554d84,2,144.09
66144093-07f1-4a6c-a23b-9ab226504e12,73f39526-2659-4cc4-af70-bdc30f5e7bb2,cf51f165-c582-46f8-ab2e-760f5ce155a8,2,257.74
63399405-0b73-460a-b38e-a226d8b454bc,2a066d6e-5036-49f7-abbd-bc96cc866be0,ad653f36-6a14-4042-bf2a-7c82e0583f72,1,294.67
